city,permit_id,issue_date,full_address,borough_area,zip_code,project_description,estimated_cost,contractor_name,contractor_license,applicant_name,owner_name,architect_name,license_status,business_address,business_phone,work_type,block,lot,bin,data_source,scraped_at
Chicago,101070143,2025-09-23,1554 W 38TH ST,59,N/A,"SPR 2019 CBRC: INTERIOR ALTERATIONS TO EXPAND EXISTING 1ST FLOOR AVIATION MAINTENANCE TRAINING FACILITY BY 68,118 SQFT INCLUDING CLASSROOM, OFFICE AND WELDING LAB AS PER PLANS. (OCCUPANCY GROUP B; CUNSTRUCTION CLASS IIB.)**CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS**",5454967,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101073669,2025-09-23,259 E ERIE ST,8,N/A,"SELF-CERT 2019 CBRC: INTERIOR RENOVATIONS TO EXISTING 21ST FLOOR OFFICE SPACE TO INCLUDE REMOVAL OF EXISTING WALLS, RELOCATED ELECTRICAL CLOSET, NEW PUBLIC AREAS, EXAM ROOMS, PROCEDURE ROOM, INFUSION BAYS, CLINICAL STAFF SUPPORT ROOMS AND BUILDING SUPPORT SPACES FOR NEW OUTPATIENT RHEUMATOLOGY CLINIC. PROJECT ALSO INCLUDES RENOVATION OF EXISTING PRIMARY CARE CLINIC AND A NEW PHARMACY AND WAITING ROOM. EXISTING/PROPOSED USE: B-BUSINESS. CONSTRUCTION TYPE 1A.",7000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101070551,2025-09-23,7250 S SOUTH SHORE DR,43,N/A,"SPR 2019 CBRC: REVISION TO PERMIT 101063723 TO CHANGE SLAB HEIGHT ABOVE GRADE OF NEW ELECTRICAL ROOM ON 1ST FLOOR AND NEW BATHROOM EXHAUST ROUTING IN UNIT # 1 ON FLOORS 2-10 IN EXISTING 11-STORY CONCRETE AND BRICK BUILDING WITH EXISTING 30 DWELLING UNITS (TYPE III-A CONSTRUCTION, OCCUPANCY R-2)",1964806,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101059872,2025-09-23,2746 N CLYBOURN AVE,7,N/A,"SPR 2019 CBRC: INTERIOR ALTERATION OF FOOD PREPARATION/SALE AREA WITHIN EXISTING 1-STORY SPRINKLERED COSTCO STORE. DEMOLITION AND REPLACEMENT OF DELI PREP, ROTISSERIE, DAIRY COOLER, MEAT COOLER AREAS. INSTALLATION OF NEW ROTISSERIE PREP. LINE-UP CASES TO BE MODIFIED. NEW MAKE UP AIR UNIT ON ROOF. (OCCUPANCY GROUP M, B, S-1; TYPE VB CONSTRUCTION)**CERTIFIED CORRECTIONS SUBJECT TO FIELD INSPECTIONS & AUDIT **",1953000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101055932,2025-09-23,1500 N HOOKER ST,8,N/A,"DDS 2019 CBRC: REVISION TO PERMIT 101029201 TO RELOCATE 2ND FLOOR TOILET ROOMS AS PER PLANS  (B- BUSINESS, III B CONSTRUCTION) CONSULTANT REVIEWER: PRIMERA ENGINEERING",5000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101071930,2025-09-23,1500 N LAKE SHORE DR,8,N/A,"INTERIOR ALTERATIONS TO EXISTING BUILDING UNIT 24A. INTERIOR WORK TO INCLUDE DEMO, NEW PARTITIONS, MECHANICAL, ELECTRICAL AND PLUMBING. EXTERIOR WORK INCLUDES REPLACEMENT OF WINDOWS WITH FIRE RATED WINDOWS AND FIRE RATED DOORS.NO EXPANSION OF USE, NO CHANGE OF USE.",2852102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101072804,2025-09-23,150 N RIVERSIDE PLZ,28,N/A,"SELF-CERT 2019 CBC: INTERIOR ALTERATION OF EXISTING OFFICES ON THE 22ND FLOOR, SUITE 2200.  13,745 SQ FT. NO CHANGE TO GROUP B OCCUPANCY OR CONSTRUCTION TYPE I-A.",1701750,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101074276,2025-09-23,353 N CLARK ST,8,N/A,"SELF-CERT: INTERIOR ALTERATIONS TO EXISTING 1ST FLOOR FITNESS CENTER TO INCLUDE RENOVATIONS OF EXERCISE ROOMS, LOCKER ROOMS, AND STORAGE ROOMS.  NO CHANGE IN USE. (A-3 ASSEMBLY; IA CONSTRUCTION)",1290000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101066113,2025-09-22,235 N MAPLEWOOD AVE,28,N/A,"DDS 2019 CBC. NEW CONSTRUCTION, FULL BUILDING PERMIT FOR 1 STORY, INDUSTRIAL WAREHOUSE. 34,023 SF. STEEL STRUCTURAL SYSTEM WITH CONCRETE SHALLOW FOUNDATION, METAL DECK ROOF AND PRECAST PANEL WALL SYSTEM AS PER PLANS. 43 OFF-STREET PARKING SPACES AND 1 PRIMARY OFF-STREET LOADING SPACE. OCCUPANCY GROUP S-1. TYPE IIB CONSTRUCTION.",3600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101074482,2025-09-22,155 N WACKER DR,32,N/A,"SELF CERT 2019 CBRC: INTERIOR ALTERATIONS TO 34TH FLOOR SPACE. WORK TO INCLUDE DEMO, NEW PARTITIONS, MECHANICAL, ELECTRICAL, AND PLUMBING AS PER PLANS. 1A CONSTRUCTION. B-BUSINESS",1500000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,B200442675,2025-09-22,325 N LA SALLE DR,8,N/A,LOW VOLTAGE/COMMUNICATION ELECTRICAL WORK. ALTER EXISTING OTHER. SPECIFIC LOCATION: 4TH FLOOR.,4099500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Electrical Work,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101066112,2025-09-22,203 N MAPLEWOOD AVE,28,N/A,"DDS 2019 CBC. NEW CONSTRUCTION, FULL BUILDING PERMIT FOR 1 STORY, INDUSTRIAL WAREHOUSE. 34,734 SF. STEEL STRUCTURAL SYSTEM WITH CONCRETE SHALLOW FOUNDATION, METAL DECK ROOF AND PRECAST PANEL WALL SYSTEM AS PER PLANS. 21 OFF-STREET PARKING SPACES AND 1 PRIMARY OFF-STREET LOADING SPACE. OCCUPANCY GROUP S-1. TYPE IIB CONSTRUCTION.",3600000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101067451,2025-09-22,750 W NORTH AVE,7,N/A,"DDS 2019 CBC: ERECT 5 STORY MIXED USE BUILDING WITH 48 DWELLING UNITS (4 EFFICIENCY), 1 RETAIL SPACE, OCCUPIABLE PUBLIC ROOFTOP DECK, 50 BICYCLE SPACES AND 15 CAR ATTACHED GARAGE WITH 0 LOADING SPACES.  (OCCUPANCY GROUP B, R2, S2, TYPE III-A CONSTRUCTION.  ALL AS PER PLANS.CONSULTANT REVIEWER: V3 COMPANIES OF IL",8000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101074352,2025-09-22,705 W CHICAGO AVE,24,N/A,"INSTALLATION OF FOUR(4) 4500LB CAPACITY, 36-FLOOR, 700FPM, PASSENGER ELEVATORS; AND TWO(2) 3500LB CAPACITY, 36-FLOOR, 1000FPM, PASSENGER ELEVATORS, PURSUANT TO THE SCOPE OF WORK PLANS SUBMITTED.",21879000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101066936,2025-09-22,10000 W OHARE ST,76,N/A,"DDS 2019 CBC: CAISSONS ONLY (VERTICAL PENETRATION ONLY) PERMIT FOR PROPOSED SATELLITE 1 CONCOURSE TERMINAL BUILDING AND CONNECTOR BRIDGE TO CONCOURSE C OF EXISTING TERMINAL 1 AT O'HARE INTERNATIONAL AIRPORT (CONSTRUCTION TYPE IB, OCC GROUP A-2, A-3, F-1, S-2). CDA PROJECT NO - TAP105.19-00. CONSULTANT REVIEWER: V3 COMPANIES OF IL",10000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
Chicago,101074180,2025-09-19,400 N ABERDEEN ST,24,N/A,"SELF-CERT 2019 CBRC: INTERIOR ALTERATIONS TO EXISTING 4TH FLOOR OFFICE SPACE (SUITE 400) TO INCLUDE SERVER ROOM LESS THAN 150 SQ FT, NON-LOAD BEARING PARTITIONS, DOORS, CEILING, LIGHTING, INTERIOR FINISHES, AND ASSOCIATED MEP WORK AS PER PLANS.OCCUPANCY GROUP B; TYPE 1A CONSTRUCTION)",2350000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,nan,,,,Chicago Open Data (Real Data),2025-09-25 11:11:26
